,symbol,order_id,order_type,order_type_text,play_id,status,status_summary,status_text,ordered_unit_quantity,ordered_unit_price,ordered_total_value,filled_unit_quantity,filled_unit_price,filled_total_value,fees,success,create_time,update_time
0,TRX-USD,buy-88B77F,3,LIMIT_BUY,play-TRX-USD800FD3,4,filled,Filled,28114.0,0.07113778591156,1999.967713117598,28114.0,0.07113778591156,1999.967713117598,0,True,2022-03-29 10:35:00+00:00,2022-03-29 10:35:00+00:00
1,TRX-USD,buy-88B77F,3,LIMIT_BUY,play-TRX-USD800FD3,4,filled,Filled,28114.0,0.07113778591156,1999.967713117598,28114.0,0.07113778591156,1999.967713117598,0,True,2022-03-29 10:35:00+00:00,2022-03-29 10:35:00+00:00
2,TRX-USD,sell-09B5FD,4,LIMIT_SELL,play-TRX-USD800FD3,4,filled,Filled,7028.0,0.071460746228695,502.22612449526844,7028.0,0.071494579315186,502.46390342712726,0,True,2022-03-29 10:35:00+00:00,2022-03-29 10:35:00+00:00
3,UNI-USD,buy-D6041D,3,LIMIT_BUY,play-UNI-USDA84CBE,6,pending,User cancelled,21007345.0,9.520479216e-05,1999.9999145584152,,,,0,False,2022-03-29 11:00:00+00:00,2022-03-29 11:10:00+00:00
4,UNI-USD,buy-D6041D,3,LIMIT_BUY,play-UNI-USDA84CBE,6,pending,User cancelled,21007345.0,9.520479216e-05,1999.9999145584152,,,,0,False,2022-03-29 11:00:00+00:00,2022-03-29 11:10:00+00:00
5,SUSHI-USD,buy-3B349B,3,LIMIT_BUY,play-SUSHI-USD2095BE,4,filled,Filled,488.0,4.092124938964844,1996.9569702148438,488.0,4.092124938964844,1996.9569702148438,0,True,2022-03-29 11:10:00+00:00,2022-03-29 11:10:00+00:00
6,SUSHI-USD,buy-3B349B,3,LIMIT_BUY,play-SUSHI-USD2095BE,4,filled,Filled,488.0,4.092124938964844,1996.9569702148438,488.0,4.092124938964844,1996.9569702148438,0,True,2022-03-29 11:10:00+00:00,2022-03-29 11:10:00+00:00
7,SUSHI-USD,sell-7BA383,4,LIMIT_SELL,play-SUSHI-USD2095BE,4,filled,Filled,122.0,4.116503000259401,502.21336603164696,122.0,4.118539810180664,502.461856842041,0,True,2022-03-29 11:10:00+00:00,2022-03-29 11:10:00+00:00
8,TRX-USD,sell-09B5FD,4,LIMIT_SELL,play-TRX-USD800FD3,4,filled,Filled,7028.0,0.071460746228695,502.22612449526844,7028.0,0.071494579315186,502.46390342712726,0,True,2022-03-29 10:35:00+00:00,2022-03-29 10:35:00+00:00
9,TRX-USD,sell-3D38CB,4,LIMIT_SELL,play-TRX-USD800FD3,6,pending,User cancelled,7028.0,0.071676053106785,503.73930123448497,,,,0,False,2022-03-29 11:45:00+00:00,2022-03-29 11:50:00+00:00
