,play_id,symbol,buy_value,sell_value,profit,outcome,take_profit_count,start,end,duration,concurrent_plays
0,play-TRX-USD800FD3,TRX-USD,1999.967713117598,2009.2280129343378,9.260299816739916,win,1,2022-03-29 10:35:00+00:00,2022-03-29 11:50:00+00:00,0 days 01:15:00,0
1,play-SUSHI-USD2095BE,SUSHI-USD,1996.9569702148438,2008.7236776351929,11.766707420349121,win,1,2022-03-29 11:10:00+00:00,2022-03-29 12:25:00+00:00,0 days 01:15:00,1
2,play-AVAX-USDC35BBB,AVAX-USD,1995.5099716186521,1976.3962097167969,-19.11376190185524,loss,0,2022-03-29 14:40:00+00:00,2022-03-29 15:45:00+00:00,0 days 01:05:00,0
3,play-TRX-USDD7A2C9,TRX-USD,1999.9445571228775,2007.0086965635485,7.064139440670942,win,1,2022-03-29 14:45:00+00:00,2022-03-29 15:20:00+00:00,0 days 00:35:00,1
4,play-MATIC-USDAB16FD,MATIC-USD,1991.6046810150144,1983.4692287445073,-8.13545227050713,loss,0,2022-03-29 14:55:00+00:00,2022-03-29 15:40:00+00:00,0 days 00:45:00,2
5,play-DAI-USD623C79,DAI-USD,1999.5858669281,1998.255372047424,-1.3304948806758148,loss,0,2022-03-29 16:30:00+00:00,2022-03-29 17:15:00+00:00,0 days 00:45:00,0
6,play-MATIC-USDE0522B,MATIC-USD,1985.4785752296448,1966.0277104377744,-19.450864791870345,loss,0,2022-03-29 16:45:00+00:00,2022-03-29 21:55:00+00:00,0 days 05:10:00,1
7,play-UNI-USDE49286,UNI-USD,1999.999968200892,1987.0214705355695,-12.978497665322493,loss,0,2022-03-29 16:45:00+00:00,2022-03-29 22:35:00+00:00,0 days 05:50:00,1
8,play-AVAX-USD4BF1FF,AVAX-USD,1952.1349868774414,1919.3933029174805,-32.74168395996094,loss,0,2022-03-29 16:45:00+00:00,2022-03-29 22:00:00+00:00,0 days 05:15:00,1
9,play-SHIB-USD63537A,SHIB-USD,1998.9795864720002,1975.4084374673,-23.571149004700146,loss,0,2022-03-29 16:50:00+00:00,2022-03-29 17:20:00+00:00,0 days 00:30:00,4
10,play-BAT-USDB43AF9,BAT-USD,1999.440054416656,1972.3370009660723,-27.10305345058373,loss,0,2022-03-29 16:50:00+00:00,2022-03-30 01:25:00+00:00,0 days 08:35:00,4
11,play-BCH-USDFE4392,BCH-USD,1863.851013183594,1852.2947692871094,-11.556243896484602,loss,0,2022-03-29 16:50:00+00:00,2022-03-29 17:20:00+00:00,0 days 00:30:00,4
12,play-LINK-USDA50908,LINK-USD,1983.8659858703613,1968.2874240875244,-15.578561782836914,loss,0,2022-03-29 16:50:00+00:00,2022-03-29 20:55:00+00:00,0 days 04:05:00,4
13,play-SUSHI-USDF7C066,SUSHI-USD,1997.7355728149419,2069.1481609344482,71.41258811950638,win,1,2022-03-29 16:50:00+00:00,2022-03-30 00:20:00+00:00,0 days 07:30:00,4
14,play-SOL-USDEB4143,SOL-USD,1997.858139038086,1985.7223663330078,-12.135772705078125,loss,0,2022-03-29 16:55:00+00:00,2022-03-29 17:20:00+00:00,0 days 00:25:00,9
15,play-TRX-USD18A245,TRX-USD,1999.9502225071153,1994.757024362671,-5.193198144444295,loss,0,2022-03-29 16:55:00+00:00,2022-03-29 17:15:00+00:00,0 days 00:20:00,9
16,play-SHIB-USD0BFBCF,SHIB-USD,1999.4984140815,2016.6534584368749,17.155044355374912,win,1,2022-03-29 17:35:00+00:00,2022-03-29 18:10:00+00:00,0 days 00:35:00,6
