Starting up run ID 5D58BD, poll time is 5m, back testing is True
Starting up run ID D38945, poll time is 5m, back testing is True
Starting up run ID 25C059, poll time is 5m, back testing is True
Starting up run ID C69DC6, poll time is 5m, back testing is True
Starting up run ID D240F8, poll time is 5m, back testing is True
Starting up run ID 15C73D, poll time is 5m, back testing is True
Starting up run ID 2FDD18, poll time is 5m, back testing is True
Starting up run ID 8E854A, poll time is 5m, back testing is True
Starting up run ID B5E1E0, poll time is 5m, back testing is True
Starting up run ID 99EEB7, poll time is 5m, back testing is True
Starting up run ID AB202A, poll time is 5m, back testing is True
Starting up run ID D019E9, poll time is 5m, back testing is True
Starting up run ID 254810, poll time is 5m, back testing is True
Starting up run ID 49BA7F, poll time is 5m, back testing is True
Starting up run ID D815AC, poll time is 5m, back testing is True
Starting up run ID E2D832, poll time is 5m, back testing is True
Starting up run ID F91DBC, poll time is 5m, back testing is True
Starting up run ID F830F4, poll time is 5m, back testing is True
Starting up run ID 6A85A1, poll time is 5m, back testing is True
Starting up run ID 9C374D, poll time is 5m, back testing is True
Starting up run ID 72B8E2, poll time is 5m, back testing is False
Finished analysing 2022-05-25 13:55:00+00:00, sleeping for 199.0s
Starting up run ID 5ED6AB, poll time is 5m, back testing is True
Finished analysing 2022-05-25 14:00:00+00:00, sleeping for 199.0s
Starting up run ID 74ABBF: interval=5m, back_testing=True, real_money_trading=False
Finished analysing 2022-05-25 14:05:00+00:00, sleeping for 191.0s
Finished analysing 2022-05-25 14:10:00+00:00, sleeping for 202.0s
Finished analysing 2022-05-25 14:15:00+00:00, sleeping for 198.0s
Finished analysing 2022-05-25 14:20:00+00:00, sleeping for 203.0s
Finished analysing 2022-05-25 14:25:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 14:30:00+00:00, sleeping for 206.0s
Finished analysing 2022-05-25 14:35:00+00:00, sleeping for 205.0s
Finished analysing 2022-05-25 14:40:00+00:00, sleeping for 206.0s
Finished analysing 2022-05-25 14:45:00+00:00, sleeping for 203.0s
Finished analysing 2022-05-25 14:50:00+00:00, sleeping for 207.0s
Finished analysing 2022-05-25 14:55:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:00:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:05:00+00:00, sleeping for 202.0s
Finished analysing 2022-05-25 15:10:00+00:00, sleeping for 203.0s
Finished analysing 2022-05-25 15:15:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:20:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:25:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:30:00+00:00, sleeping for 203.0s
Finished analysing 2022-05-25 15:35:00+00:00, sleeping for 205.0s
Finished analysing 2022-05-25 15:40:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:45:00+00:00, sleeping for 204.0s
Finished analysing 2022-05-25 15:50:00+00:00, sleeping for 206.0s
Finished analysing 2022-05-25 15:55:00+00:00, sleeping for 203.0s
Finished analysing 2022-05-25 16:00:00+00:00, sleeping for 204.0s
